Question,Answer
นายสมชายใช้อาวุธปืนไม่มีลูกกระสุนยกขึ้นเล็งเพื่อขู่นายสมหวัง นายสมหวังตกใจโดยไม่รู้ว่าปืนของนายสมชายไม่มีลูกกระสุน จึงชักอาวุธปืนพกของตนขึ้นมายิงนายสมชายตาย ดังนี้ การกระทำของนายสมหวังเป็นความผิดหรือไม่อย่างไร,เป็นการกระทำโดยป้องกันโดยชอบด้วยกฎหมายโดยสำคัญผิด จึงไม่มีความผิด ตาม ป.อ. มาตรา ๖๘ และมาตรา ๖๒
การที่นางสาวจินนี่บุกเข้าไปในโรงเรียนสตรีแห่งหนึ่ง แล้วใช้มีดไล่แทงทำร้ายเด็กนักเรียนหญิงได้รับบาดเจ็บไปหลายราย ดังนี้ หากปรากฏข้อเท็จจริงว่านางสาวจินนี่เป็นผู้ที่ป่วยเป็นโรคจิต นางสาวจินนี่จะต้องรับผิดในการกระทำนี้หรือไม่อย่างไร,หากกระทำในขณะที่รู้ผิดชอบอยู่บ้าง ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดก็ได ตาม ป.อ. มาตรา ๖๕ วรรคสอง
นายสมชายไปงานเลี้ยงปีใหม่ และดื่มสุราฉลองกับเพื่อนจนมึนเมา หลังจากออกจากงานเลี้ยง นายสมชายขับรถกลับบ้านตามลำพัง นายสมชายขับรถชนนางสมหญิงที่เดินอยู่ข้างถนนได้รับบาดเจ็บสาหัส ดังนี้ นายสมชายต้องรับผิดอย่างไร,กระทำโดยประมาทเป็นเหตุให้ผู้อื่นได้รับอันตรายสาหัส ตาม ป.อ. มาตรา ๖๖ จะยกเอาความมึนเมาเป็นข้อแก้ตัวว่ากระทำไปโดยไม่รู้ผิดชอบหรือไม่สามารถบังคับตนเองได้ เพื่อให้ตนเองพ้นผิดตาม ป.อ. มาตรา ๖๕ นั้นต้องเป็นกรณีที่ความมึนเมานั้นเกิดขึ้นโดยผู้เสพย์ไม่รู้ว่าสิ่งนั้นจะทำให้มึนเมาหรือถูกขืนใจให้เสพย์
นายดีเลี้ยงช้างไว้เชือกหนึ่ง ช้างของนายดีเกิดตกมันแต่นายดีก็ผูกช้างไว้ด้วยเชือกแทนที่จะล่ามช้างไว้ด้วยโซ่ ช้างของนายดีใช้กำลังดึงเชือกจนขาดแล้ววิ่งเข้าไปจะทำร้ายนายโด่ง นายโด่งเห็นเช่นนั้นจึงใช้ปืนยิงไปที่หัวของช้าง กระสุนปืนถูกช้างของนายดีล้มลงและถึงแก่ความตาย ดังนี้ นายโด่งผิดอย่างไรหรือไม่,ไม่มีความผิดทำให้เสียทรัพย์เพราะอ้างเหตุกระทำด้วยการป้องกัน เป็นกรณีที่เจ้าของช้างกระทำโดยประมาทในการควบคุมดูแลช้างที่กำลังตกมันซึ่งเป็นสัตว์ดุ ฎีกาที่ ๓๔๓๕/๒๕๒๗ เมื่อช้างนั้นจะทำร้ายนายโด่งจึงเป็นภยันตรายที่เกิดจากการประทุษร้ายอันละเมิดต่อกฎหมายและเป็นภยันตรายที่ใกล้จะถึง นายโด่งจึงป้องกันตนเองได้ เมื่อเป็นการป้องที่ชอบด้วยกฎหมายและพอสมควรแก่เหตุ นายโด่งจึงไม่มีความผิดตาม ป.อ. มาตรา ๖๘
นายโตและนายเตี้ยเข้าไปเที่ยวสวนสัตว์ นายเตี้ยอยากถ่ายรูปเสืออย่างใกล้ชิด จึงปีนรั้วเข้าไปยืนติดกับกรงเสือทั้งที่ทางสวนสัตว์มีป้ายห้ามที่หน้ากรงไม่ให้เข้าใกล้ นายเตี้ยยื่นมือเข้าไปทางซี่กรงเพื่อถ่ายรูปเสือตัวหนึ่งที่ยืนอยู่ จึงถูกเสืออีกตัวตะปบแขนข้างขวาของนายเตี้ยอย่างแรงจนได้รับบาดเจ็บสาหัสและกัดดึงลากแขนนายเตี้ยเข้าไป นายเตี้ยร้องขอความช่วยเหลือ นายโตจึงใช้ปืนยิงเสือตัวนั้นเพื่อให้ปล่อยแขนนายเตี้ยจนเสือตัวนั้นตาย ดังนี้ นายโตมีความผิดฐานใดหรือไม่,ผิดฐานทำให้เสียทรัพย์แต่ไม่ต้องรับโทษ การที่นายเตี้ยยื่นมือเข้าไปในกรงเสือ แล้วถูกเสือตะปบมือได้รับบาดเจ็บนายเตี้ยจึงเป็นผู้ก่อให้เกิดภัยนั้นขึ้นก่อน จึงอ้างเหตุป้องกันมิได้ การที่นายโตใช้ปืนยิงเสือเพื่อช่วยนายเตี้ยจึงเป็นกระทำความผิดด้วยความจำเป็นเพื่อให้นายเตี ้ยพ้นจากภยันตรายซึ่งไม่สามารถหลีกเลี่ยงให้พ้นด้วยวิธีอื่นใดได้ และการที่เสือตะปบและกัดมือนายเตี้ยนั้นนายโตมิได้เป็นผู้ก่อให้เกิดภัยนั้นขึ้น ดังนั้น เมื่อนายโตยิงเสือตายเพื่อช่วยนายเตี้ย การกระทำของนายโตจึงเป็นการกระทำความผิดฐานทำให้เสียทรัพย์ แต่ไม่ต้องรับโทษเพราะกระทำความผิดด้วยความจำเป็นตาม ป.อ. มาตรา ๖๗
นายแจ๊สทะเลาะวิวาทชกต่อยกับนายจิ้ม มีคนมาห้ามปรามทั้งสองจึงแยกกันไป นายจิ้มเดินกลับบ้าน นายแจ๊สตามมาชวนวิวาทต่อสู้กันอีก นายจิ้มมุ่งหน้ากลับบ้านไม่ยอมวิวาทต่อสู้ด้วย นายแจ๊สจึงชักมีดออกมาจะแทงนายจิ้ม  นายจิ้มจึงใช้มีดแทงสวนไปถูกนายแจ๊สถึงแก่ความตาย ดังนี้ นายจิ้มมีความผิดอย่างไรหรือไม่,ไม่มีความผิดเพราะอ้างป้องกันได้ การทะเลาะวิวาทสิ้นสุดลงแล้ว นายแจ๊สยังตามมาจะแทงทำร้ายนายจิ้ม จึงเป็นภยันตรายซึ่งเกิดจากการประทุษร้ายอันละเมิดต่อกฎหมาย และเป็นภยันตรายที่ใกล้จะถึง นายจิ้มจึงมีสิทธิป้องกันตนเองได้ การที่นายจิ้มใช้มีดแทงสวนไปถูกนายแจ๊สถึงแก่ความตายจึงเป็นการป้องกันตนที่พอสมควรแก่เหตุ นายจิ้มจึงไม่มีความผิดตาม ป.อ. มาตรา ๖๘
นายโก๋ออกไปล่าสัตว์ในป่ากับนายเก่า หลังจากแยกย้ายกันไปสักพักใหญ่ นายโก๋มานั่งพักอยู่ที่ จุดนัดพบคอยนายเก๋า ระหว่างนั้นนายโก๋ได้ยินเสียงพุ่มไม้ไหวก็เข้าใจไปว่าเป็นหมูป่าโดยไม่คิดว่า เป็นนายเก๋า ทั้งที่ปกตินายเก๋มักจะชอบล้อเล่นแบบนี้อยู่เสมอ ด้วยความรีบร้อนไม่ดูให้ดี นายโก๋ ใช้ปืนยิงไปหลังพุ่มไม้นั้น ปรากฏว่าโดนนายเก่าถึงแก่ความตาย จงวินิจฉัยความรับผิดทางอาญาของนายโก๋,มาตรา 59 วรรคหนึ่ง วรรคสอง วรรคสาม และวรรคสี่ “บุคคลจะต้องรับผิดในทางอาญา ก็ต่อเมื่อได้กระทําโดยเจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้ กระทําโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 62 วรรคสอง “ถ้าความไม่รู้ข้อเท็จจริงตามความในวรรคสามแห่งมาตรา 59 หรือ ความสําคัญผิดว่ามีอยู่จริงตามความในวรรคหนึ่ง ได้เกิดขึ้นด้วยความประมาทของผู้กระทําความผิด ให้ผู้กระทํา รับผิดฐานกระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติไว้โดยเฉพาะว่า การกระทํานั้นผู้กระทําจะต้องรับโทษ แม้กระทําโดยประมาท”
นายดําต้องการฆ่านายแดงจึงมอบปืนให้นายขาวโดยหลอกว่าเป็นปืนปลอมให้ไปยิงล้อเล่นให้ นายแดงตกใจ นายขาวหลงเชื่อว่าเป็นปืนปลอม จึงยิงปืนไปที่นายแดง กระสุนปืนไม่ถูกนายแดง และไม่มีบุคคลใดได้รับอันตรายแต่อย่างใด ดังนี้ ให้วินิจฉัยว่า นายดําและนายขาวจะต้องรับผิดอย่างไรหรือไม่ เพราะเหตุใด,มาตรา 59 วรรคหนึ่ง วรรคสอง และวรรคสาม “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อ ได้กระทําโดยเจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทํา โดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 80 วรรคหนึ่ง “ผู้ใดลงมือกระทําความผิดแต่กระทําไปไม่ตลอด หรือกระทําไปตลอดแล้ว แต่การกระทํานั้นไม่บรรลุผล ผู้นั้นพยายามกระทําความผิด”
เลอสรรค์เลี้ยงสุนัขไว้ในบ้าน 3 ตัว เลอสรรค์ทํารั้วบ้านด้วยคอนกรีตสูงสองเมตรและมีลูกกรงเหล็ก ต่อขึ้นไปอีกหนึ่งเมตร เลอสรรค์เขียนข้อความติดไว้หน้าประตูรั้วว่า “ห้ามปีนรั้วหรือยื่นมือและเท้า เข้ามาในรั้วเพราะสุนัขดุ” วันรบกับพวกเตะฟุตบอลอยู่บนถนนหน้าบ้านเลอสรรค์ ลูกฟุตบอลได้ เข้าไปในบ้านเลอสรรค์ วันรบได้ปีนรั้วและใช้ไม้เขี่ยลูกฟุตบอลทั้งที่เห็นข้อความติดไว้หน้าประตูรั้ว สุนัขของเลอสรรค์กระโดดกัดข้อมือวันรบและกระชากจนวันรบจะหล่นจากรั้วเข้าไปข้างใน วันรบร้องให้พรรคพวกช่วย ทรงเดชเพื่อนของวันรบได้ใช้ไม้ตีและแทงไปที่หัวสุนัขจนตาสุนัขบอดและยอมปล่อยข้อมือวันรบ,มาตรา 59 วรรคหนึ่ง และวรรคสอง “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 67 “ผู้ใดกระทําความผิดด้วยความจําเป็น (1) เพราะอยู่ในที่บังคับ หรือภายใต้อํานาจซึ่งไม่สามารถหลีกเลี่ยงหรือขัดขืนได้ หรือ (2) เพราะเพื่อให้ตนเองหรือผู้อื่นพ้นจากภยันตรายที่ใกล้จะถึงและไม่สามารถหลีกเลี่ยงให้พ้นโดยวิธีอื่นใดได้เมื่อภยันตรายนั้นตนมิได้ก่อให้เกิดขึ้นเพราะความผิดของตน มาตรา 68 “ผู้ใดจําต้องกระทําการใดเพื่อป้องกันสิทธิของตน หรือของผู้อื่นให้พ้นภยันตราย ซึ่งเกิดจากการประทุษร้ายอันละเมิดต่อกฎหมาย และเป็นภยันตรายที่ใกล้จะถึง ถ้าได้กระทําพอสมควรแก่เหตุ การกระทํานั้นเป็นการป้องกันโดยชอบด้วยกฎหมาย ผู้นั้นไม่มีความผิด”
เชย ชิด และฉ่ำไปเที่ยวงานกาชาดจังหวัด พบเอกกับเพื่อนยืนอยู่ เชยมีอาวุธปืนเดินเข้าไป ถามหาเรื่องจะทําร้ายเอก แล้วทั้งสามก็ไปเที่ยวต่อ หลังจากเที่ยวงานเสร็จระหว่างทางกลับบ้าน เชย ชิด และฉ่ำพบเอกกับพวกอีก ชิดได้ชักมีดออกมาแทงเอก เอกหลบและชักปืนออกมาจะยิ่งชิด ฉ่ำเข้าแย่งปืนกับเอก ร้องบอกเชยว่า “เชยยิง ๆ” เชยได้ใช้ปืนยิงเอก ขณะเดียวกัน ชิดเข้า ขัดขวางพรรคพวกของเอกไม่ให้ช่วยเอก เอกถูกยิงตาย,มาตรา 59 วรรคหนึ่งและวรรคสอง “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 83 “ในกรณีความผิดใดเกิดขึ้นโดยการกระทําของบุคคลตั้งแต่สองคนขึ้นไป ผู้ที่ได้ร่วม กระทําความผิดด้วยกันนั้นเป็นตัวการ ต้องระวางโทษตามที่กฎหมายกําหนดไว้สําหรับความผิดนั้น” มาตรา 84 วรรคหนึ่ง “ผู้ใดก่อให้ผู้อื่นกระทําความผิดไม่ว่าด้วยการใช้ บังคับ ขู่เข็ญ จ้างวาน หรือยุยงส่งเสริม หรือด้วยวิธีอื่นใด ผู้นั้นเป็นผู้ใช้ให้กระทําความผิด….”
นายเสือต้องการฆ่านายช้าง ขณะที่นายช้างเผลอนายเสือได้แอบใส่ยาพิษชนิดร้ายแรงลงในถ้วย กาแฟของนายช้าง นายช้างดื่มโดยไม่รู้ ต่อมายาพิษออกฤทธิ์ทําให้นายช้างหมดสติ นายเสือเข้าใจ ว่านายข้างถึงแก่ความตายแล้ว จึงเอาร่างของนายช้างไปแขวนคอไว้กับกิ่งไม้ใหญ่หลังบ้านเพื่อ เป็นการอําพรางว่านายช้างฆ่าตัวตาย นายช้างถึงแก่ความตายเพราะถูกแขวนคอ,มาตรา 59 วรรคหนึ่ง วรรคสอง และวรรคสาม “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้ กระทําโดยเจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาทหรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา
นายเดชารู้สึกรําคาญนายเดโชที่นั่งดื่มสุราอยู่ที่โต๊ะอาหารข้าง ๆ เพราะเมาสุราพูดจาเอะอะโวยวายจึงชักปืนลูกซองออกมาเล็งยิงไปที่ขวดสุราบนโต๊ะอาหารที่นายเดโชนั่งอยู่ ลูกกระสุนปืน ถูกขวดสุราของนายเดโชแตกและกระสุนปืนยังกระจายไปถูกนายเดโชได้รับอันตรายสาหัส นอกจากนี้ลูกกระสุนปืนยังกระจายไปถูกนายเดชชาติที่อุ้มลูกสุนัขของนายเดชชัยที่เดินเข้ามา ในร้านอาหารพอดี เป็นเหตุให้นายเดชชาติถึงแก่ความตาย และลูกสุนัขของนายเดชชัยที่อุ้มมา ตกพื้นตายเช่นกัน นายเดชามีความผิดฐานใดบ้าง,มาตรา 59 วรรคหนึ่ง และวรรคสอง “บุคคลจะต้องรับผิดในทางอาญา ก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาทหรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 60 “ผู้ใดเจตนาที่จะกระทําต่อบุคคลหนึ่ง แต่ผลของการกระทําเกิดแก่อีกบุคคลหนึ่ง โดยพลาดไป ให้ถือว่าผู้นั้นกระทําโดยเจตนาแก่บุคคลซึ่งได้รับผลร้ายจากการกระทํานั้น แต่ในกรณีที่กฎหมาย บัญญัติให้ลงโทษหนักขึ้น เพราะฐานะของบุคคลหรือเพราะความสัมพันธ์ระหว่างผู้กระทํากับบุคคลที่ได้รับผลร้าย มิให้นํากฎหมายนั้นมาใช้บังคับเพื่อลงโทษผู้กระทําให้หนักขึ้น” มาตรา 80 วรรคหนึ่ง “ผู้ใดลงมือกระทําความผิดแต่กระทําไปไม่ตลอด หรือกระทําไปตลอดแล้ว แต่การกระทํานั้นไม่บรรลุผล ผู้นั้นพยายามกระทําความผิด”
นายโก๋เห็นนายจอมกําลังยืนคุยอยู่กับนางสาวปุยฝ้ายสาวที่ตนหลงรัก นายโก้โมโหต้องการจะฆ่า นายจอม จึงชักปืนพกขึ้นจ้องเล็งจะยิงนายจอม นายศักดิ์กับนายศรีเห็นเหตุการณ์เกรงว่านายจอม จะถูกยิงตาย นายศักดิ์จึงกระโดดถีบนายจอมเพื่อให้หลบกระสุนปืน นายจอมส้มลงหน้ากระแทกพื้น ได้รับบาดเจ็บ ส่วนนายศรีใช้ปืนยิงถูกข้อมือของนายโก๋ได้รับบาดเจ็บปืนหลุดจากมือ ดังนี้ นายศักดิ์และนายศรี จะต้องรับผิดทางอาญาหรือไม่ อย่างไร,มาตรา 59 วรรคหนึ่ง และวรรคสอง “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 67 “ผู้ใดกระทําความผิดด้วยความจําเป็น (1) เพราะอยู่ในที่บังคับ หรือภายใต้อํานาจซึ่งไม่สามารถหลีกเลี่ยงหรือขัดขืนได้ หรือ (2) เพราะเพื่อให้ตนเองหรือผู้อื่นพ้นจากภยันตรายที่ใกล้จะถึงและไม่สามารถหลีกเลี่ยงให้พ้นโดยวิธีอื่นใดได้เมื่อภยันตรายนั้นตนมิได้ก่อให้เกิดขึ้นเพราะความผิดของตน ถ้าการกระทํานั้นไม่เป็นการเกินสมควรแก่เหตุแล้ว ผู้นั้นไม่ต้องรับโทษ” มาตรา 68 “ผู้ใดจําต้องกระทําการใดเพื่อป้องกันสิทธิของตน หรือของผู้อื่นให้พ้นภยันตราย ซึ่งเกิดจากการประทุษร้ายอันละเมิดต่อกฎหมาย และเป็นภยันตรายที่ใกล้จะถึง ถ้าได้กระทําพอสมควรแก่เหตุ การกระทํานั้นเป็นการป้องกันโดยชอบด้วยกฎหมาย ผู้นั้นไม่มีความผิด”
ประชากับสมเดชร่วมกันวางแผนฆ่าชุมพร โดยตกลงกันให้ประชาไปหลอกชุมพรออกมาจากบ้านมาให้สมเดชยิง อรสาแอบได้ยินประชากับสมเดชวางแผนฆ่าชุมพร และทราบว่าสมเดชไม่มีอาวุธปืน อรสาจึงได้ฝากอาวุธปืนแก่วัลลภมาให้สมเดช โดยสมเดชไม่ทราบว่าเป็นปืนของอรสา ระหว่างที่ ประชาเดินทางไปบ้านชุมพร สมเดชพบชุมพรโดยบังเอิญจึงยิ่งชุมพรตายเสียก่อนที่ประชาจะพบกับชุมพร,มาตรา 59 วรรคหนึ่ง และวรรคสอง “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 83 “ในกรณีความผิดใดเกิดขึ้นโดยการกระทําของบุคคลตั้งแต่สองคนขึ้นไป ผู้ที่ได้ร่วม กระทําความผิดด้วยกันนั้นเป็นตัวการ ต้องระวางโทษตามที่กฎหมายกําหนดไว้สําหรับความผิดนั้น” มาตรา 86 “ผู้ใดกระทําด้วยประการใด ๆ อันเป็นการช่วยเหลือ หรือให้ความสะดวกในการ ที่ผู้อื่นกระทําความผิดก่อน หรือขณะกระทําความผิด แม้ผู้กระทําความผิดจะมิได้รู้ถึงการช่วยเหลือ หรือให้ ความสะดวกนั้นก็ตาม ผู้นั้นเป็นผู้สนับสนุนการกระทําความผิด ต้องระวางโทษสองในสามส่วนของโทษที่กําหนดไว้ สําหรับความผิดที่สนับสนุนนั้น”
นายชนะชลได้ชวนนางสาวเมขลาซึ่งเป็นคู่รักไปเที่ยวนั่งรถชมวิวด้วยกัน โดยให้นางสาวเมขลา ซ้อนท้ายรถจักรยานยนต์บิ๊กไบค์ที่นายชนะชลเป็นผู้ขับขี่ซึ่งนายชนะชลขับด้วยความเร็วสูงมาก และเมื่อขับมาถึงทางโค้งก็ไม่ได้ลดความเร็วลง ทําให้รถคันดังกล่าวล้มลงเป็นเหตุให้นางสาวเมขลา ตกจากรถได้รับอันตรายสาหัสนอนหมดสติในพงหญ้าข้างทาง นายชนะชลตกใจกับเหตุการณ์ที่ เกิดขึ้น โดยหลบหนีไปไม่ให้ความช่วยเหลือและไม่ได้แจ้งให้ผู้ใดทราบ นางสาวเมขลานอนหมดสติ ในที่เกิดเหตุเป็นเวลา 5 วัน จนพลเมืองดีมาพบและแจ้งเจ้าหน้าที่ให้มาช่วยเหลือพานางสาวเมขลาไปช่วยเหลือจนรอดชีวิต จงวินิจฉัยความรับผิดทางอาญาของนายชนะชล,มาตรา 59 วรรคหนึ่ง วรรคสอง และวรรคห้า “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้ กระทําโดยเจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดย ประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 80 วรรคหนึ่ง “ผู้ใดลงมือกระทําความผิดแต่กระทําไปไม่ตลอด หรือกระทําไปตลอดแล้ว แต่การกระทํานั้นไม่บรรลุผล ผู้นั้นพยายามกระทําความผิด”
นายพายุคึกคะนองจึงได้ใช้ก้อนหินที่มีน้ำหนักถึงหนึ่งกิโลกรัมเศษและครึ่งกิโลกรัมจํานวนหลายก้อนทุ่มลงมาจากสะพานข้ามแม่น้ำซึ่งอยู่สูงจากระดับพื้นน้ํา 9 เมตร ลงไปยังเรือโดยสารลําหนึ่ง ซึ่งมีผู้โดยสารอยู่เป็นจํานวนมาก ในขณะที่เรือแล่นลอดใต้สะพาน หินก้อนหนึ่งถูกนายสายฟ้า ผู้โดยสารในเรือลํานั้นได้รับอันตรายสาหัส และหินอีกก้อนหนึ่งได้กระเด็นไปถูกนายฝนตกผู้โดยสารในเรืออีกลําหนึ่งซึ่งแล่นสวนทางมาถูกบริเวณตาข้างซ้ายซึ่งทําให้นายฝนตกตาบอดจงวินิจฉัยความรับผิดทางอาญาของนายพายุ,มาตรา 59 วรรคหนึ่งและวรรคสอง “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาท หรือเว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 60 “ผู้ใดเจตนาที่จะกระทําต่อบุคคลหนึ่ง แต่ผลของการกระทําเกิดแก่อีกบุคคลหนึ่ง โดยพลาดไป ให้ถือว่าผู้นั้นกระทําโดยเจตนาแก่บุคคลซึ่งได้รับผลร้ายจากการกระทํานั้น….”มาตรา 80 วรรคหนึ่ง “ผู้ใดลงมือกระทําความผิดแต่กระทําไปไม่ตลอด หรือกระทําไปตลอดแล้ว แต่การกระทํานั้นไม่บรรลุผล ผู้นั้นพยายามกระทําความผิด”
นายนี้เวียต้องการฆ่านางวาสลีน จึงวางแผนฆ่านางวาสลีนด้วยการหาซื้อยาเบื่อหนู โดยนํายาเบื่อหนู ใส่ไปในโอ่งน้ำดื่มของนางวาสลีน นายเจอร์เก้นน้องชายของนางวาสลีนเห็นเหตุการณ์มาโดยตลอดจึงตะโกนร้องบอกนางวาสลีนพี่สาวของตนในทันทีไม่ให้ดื่มน้ำในโอ่งนั้น นายนีเวียตกใจที่ความแตก จึงรีบวิ่งหนี นายเจอร์เก้นโกรธที่นายนีเวียกระทํากับพี่สาวของตน จึงวิ่งไล่ยิงนายนีเวียไปทันที ขณะที่นายนีเวียวิ่งหนีไปตามทางแคบ ๆ มีรถจักรยานยนต์ของนายยูเซอรีนจอดขวางทางอยู่ นายนีเวียจึงวิ่งชนรถคันนั้นเพื่อไม่ให้โดนยิง ทําให้รถล้มลงและได้รับความเสียหาย โดยนายเจอร์เก้น ยิ่งถูกนายนีเวียได้รับบาดเจ็บสาหัส,มาตรา 59 วรรคหนึ่งและวรรคสอง “บุคคลจะต้องรับผิดในทางอาญาก็ต่อเมื่อได้กระทําโดย เจตนา เว้นแต่จะได้กระทําโดยประมาท ในกรณีที่กฎหมายบัญญัติให้ต้องรับผิดเมื่อได้กระทําโดยประมาท หรือ เว้นแต่ในกรณีที่กฎหมายบัญญัติไว้โดยแจ้งชัดให้ต้องรับผิดแม้ได้กระทําโดยไม่มีเจตนา มาตรา 67 “ผู้ใดกระทําความผิดด้วยความจําเป็น (1) เพราะอยู่ในที่บังคับ หรือภายใต้อํานาจซึ่งไม่สามารถหลีกเลี่ยงหรือขัดขืนได้ หรือ (2) เพราะเพื่อให้ตนเองหรือผู้อื่นพ้นจากภยันตรายที่ใกล้จะถึงและไม่สามารถหลีกเลี่ยงให้พ้น โดยวิธีอื่นใดได้เมื่อภยันตรายนั้นตนมิได้ก่อให้เกิดขึ้นเพราะความผิดของตนถ้าการกระทํานั้นไม่เป็นการเกินสมควรแก่เหตุแล้ว ผู้นั้นไม่ต้องรับโทษ” มาตรา 72 “ผู้ใดบันดาลโทสะโดยถูกข่มเหงอย่างร้ายแรงด้วยเหตุอันไม่เป็นธรรม จึงกระทํา ความผิดต่อผู้ข่มเหงในขณะนั้น ศาลจะลงโทษผู้นั้นน้อยกว่าที่กฎหมายกําหนดไว้สําหรับความผิดนั้นเพียงใดก็ได้” มาตรา 80 วรรคหนึ่ง “ผู้ใดลงมือกระทําความผิดแต่กระทําไปไม่ตลอด หรือกระทําไปตลอดแล้วแต่การกระทํานั้นไม่บรรลุผล ผู้นั้นพยายามกระทําความผิด”
